,2,10,FTSE 100
count,394.0,394.0,394.0
mean,0.000135517347924779,0.0005499526770610234,0.00320630789852107
std,0.02412764142848347,0.06545516086302726,0.0432596083310102
min,-0.18725796324877658,-0.2876820724517809,-0.21452916472761155
25%,0.0,-0.019230107325172587,-0.017312500835169803
50%,0.0,0.0,0.00811447656963376
75%,0.0,0.02440458575083238,0.030873755757942836
max,0.13423947520820292,0.32496716410771875,0.12655123859737394
Sharpe ratio,0.00561668442920394,0.008401975792433923,0.07411782080843901
Maximum drawdown,-0.383365766836102,-0.860825735721125,-0.5021825547496205
