firms,age,agr,bm,bm_ia,cashdebt,chpmia,convind,egr,ep,grltnoa,herf,lev,lgr,ms,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ-L^J02,11.0,-0.1213491985445963,6.02495138194489e-07,0.0172909600070487,0.0375211167422423,0.0191258707022095,1.0,-0.0377122877122876,-1.0398631375534265e-07,-0.1292922948073685,1.894999149112458e-07,7.946743556460922e-07,-0.175669099756691,2.0,0.8479173022717066,0.2415120103933437,-0.4902448695045968,-0.0283804627249357,-0.0913978494623656,-0.0461538461538461,0.0973451327433627,0.2358803986710964,0.4474708171206227,0.4307692307692308,0.4418604651162792,0.5,1.0327868852459017,0.5060728744939271,0.4761904761904763,0.3052631578947369,0.3478260869565219,0.5245901639344264,1.162790697674419,1.1502890173410405,1.530612244897959,3.65,3.0,6.750000000000001,7.454545454545455,7.454545454545455,8.073170731707318,7.651162790697676,6.591836734693878,8.3,6.294117647058823,5.888888888888888,6.018867924528302,3.179775280898877,3.179775280898877,1.4155844155844155,1.162790697674419,0.6173913043478263,0.5564853556485356,0.7547169811320755,0.5371900826446283,0.3285714285714287,0.7714285714285714,0.6832579185520362,1.2142857142857144,1.1016949152542377,0.2916666666666667,0.4588235294117648,0.5630252100840338,0.1698113207547169,0.0276243093922652,-0.1036144578313252,-0.1982758620689654
BALZ-L^I10,14.0,-0.1812127992406081,7.473121874600637e-07,0.0214470529751907,-0.1180840664711632,-0.1045126852895767,1.0,-0.2502783995680588,-2.138188986641373e-07,-0.0500978577800263,1.1673948038387303e-09,1.1477489020322188e-06,-0.129401258717469,4.0,0.1182531286849542,-0.1642644008841205,-0.3555716397075974,-0.2264079107949389,-0.2340425531914893,-0.06,-0.06,-0.0784313725490196,-0.1607142857142858,-0.3380281690140845,-0.3815789473684211,-0.1454545454545456,-0.1132075471698114,-0.3472222222222222,-0.3472222222222222,-0.5392156862745099,-0.5392156862745099,-0.5913043478260869,-0.5436893203883495,-0.6907894736842106,-0.7473118279569892,-0.7134146341463414,-0.7445652173913044,-0.7673267326732673,-0.7526315789473684,-0.7673267326732673,-0.75,-0.7539267015706806,-0.70625,-0.6356589147286822,-0.6299212598425197,-0.6948051948051948,-0.5803571428571429,-0.5204081632653061,-0.5204081632653061,-0.4197530864197532,-0.4125000000000001,-0.4470588235294117,-0.3974358974358974,-0.4050632911392405,-0.3648648648648649,-0.2878787878787879,-0.3088235294117648,-0.189655172413793,-0.2033898305084746,-0.2166666666666666,-0.06,0.0217391304347824,0.119047619047619,0.0217391304347824,-0.0208333333333333,-0.0208333333333333,-0.0784313725490196
BBIO-L^E18,13.0,-0.1343742001535705,4.584354783039658e-07,0.0131566032962863,0.1026288117770767,-0.0298611911848692,1.0,-0.2889498970487302,1.548768507783668e-08,-0.0740842365207599,6.249883015391478e-07,1.0283822891683556e-06,-0.044014808720691,3.0,2.996329501029303,-0.0033464268796865,-0.1677982541222114,-0.1677982541222114,-0.0628742514970059,0.0182926829268292,-0.0318840579710145,0.1245791245791245,0.2189781021897809,0.260377358490566,0.1678321678321679,0.2189781021897809,0.2945736434108525,0.0986842105263157,-0.5248933143669986,-0.5187319884726225,-0.5639686684073107,-0.5593667546174143,-0.5373961218836565,-0.5845771144278606,-0.5980746089049338,-0.5275813295615277,-0.5582010582010581,-0.5850931677018634,-0.4954682779456193,-0.6238738738738739,-0.6061320754716981,-0.6138728323699423,-0.6389189189189189,-0.6238738738738739,-0.5756035578144854,-0.5891758917589176,-0.5639686684073107,-0.6574358974358975,-0.6629667003027245,-0.6612576064908722,-0.6570841889117043,-0.6629667003027245,-0.6907407407407408,-0.6980108499095841,-0.6689791873141724,-0.6854990583804144,-0.6450584484590861,-0.6019070321811681,-0.5639686684073107,-0.581453634085213,-0.4837712519319938,-0.5361111111111112,-0.4241379310344827,-0.5014925373134329,-0.5564409030544489,-0.5876543209876544,-0.6345733041575492
BBOU-L,14.0,0.04883166969147,2.1469889086528826e-07,0.0061616263769933,0.1612550471063257,0.0212112198016389,1.0,0.1569307885097358,5.78517091366724e-08,-0.056636678200692,6.753820605758137e-06,4.270722646657134e-07,0.0082777261593039,4.0,37.0596967280329,-0.1576718471794846,-0.120037438577334,-0.120037438577334,-0.0104651162790697,-0.0497237569060774,-0.0631808278867102,-0.0114942528735632,0.0141509433962263,0.0955414012738853,0.1543624161073824,0.2285714285714284,0.2285714285714284,0.2518195050946141,0.1668928086838534,0.0776942355889722,0.121251629726206,0.186206896551724,0.2011173184357542,0.2011173184357542,0.3149847094801223,0.1466666666666667,0.1894882434301519,0.3069908814589666,0.4168039538714991,0.4904679376083189,0.4776632302405497,0.4285714285714286,0.4956521739130435,0.6538461538461537,0.7029702970297029,0.7991631799163179,0.911111111111111,0.7269076305220881,0.5221238938053097,0.4191419141914192,0.4238410596026489,0.3543307086614173,0.3759999999999999,0.2573099415204678,0.2797619047619046,0.1977715877437325,0.2721893491124261,0.2463768115942028,0.2233285917496443,0.2573099415204678,0.3564668769716088,0.2740740740740739,0.5955473098330242,0.3543307086614173,0.2078651685393258,0.6796875,0.6796875
BBTK-L^C11,11.0,0.1364296081277213,0.000661937724349,18.99689805493736,0.1818181818181818,0.4856364494780814,1.0,0.8411764705882353,7.8248229395893e-05,0.1253396739130146,1.8721912878946362e-08,0.0008797638764511,-0.108730583824317,3.0,0.0025078134739835,-0.4155844155844156,0.3563049853372434,0.2272727272727272,0.0,0.0,0.0,0.0,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.15,-0.15,0.4166666666666667,-0.15,-0.15,-0.1052631578947368,-0.0285714285714284,0.1333333333333335,0.3600000000000001,0.2142857142857142,0.2142857142857142,0.2142857142857142,0.3600000000000001,0.3600000000000001,0.7,0.2592592592592593,0.5454545454545456,0.0625,1.125,1.125,0.5454545454545456,-0.15,-0.15,-0.15,-0.0555555555555554,0.0,0.1724137931034484,0.1724137931034484,0.2142857142857142,0.1724137931034484,0.3076923076923077,0.5454545454545456,0.5454545454545456,0.4782608695652175,0.4782608695652175,0.3076923076923077,0.2142857142857142,0.0967741935483872,0.0,-0.1282051282051282
BBTU-L^C18,13.0,0.0745087220406604,7.747780452592051e-07,0.0222352934416406,0.1377533193570929,-0.0003523344580544,1.0,0.0755260420833665,4.123734965282759e-08,0.0276405298961602,9.19051274654987e-07,6.830530390083664e-07,0.0730680429172891,4.0,4.601049691930836,0.062030868777317,-0.1057039092888807,0.0532202960900924,-0.105691056910569,-0.031496062992126,-0.0120481927710844,0.0982142857142855,0.1714285714285712,0.1658767772511848,0.1941747572815533,0.3820224719101124,0.3369565217391304,0.0250000000000001,-0.0040485829959514,0.0,0.0165289256198346,0.1081081081081078,0.1941747572815533,0.0695652173913043,0.0207468879668049,0.1770334928229666,0.268041237113402,0.28125,0.268041237113402,0.1336405529953916,0.1131221719457014,0.1031390134529148,-0.016,-0.088888888888889,-0.1245551601423488,-0.0538461538461538,0.4470588235294117,0.2424242424242424,0.1826923076923077,0.2746113989637306,0.1714285714285712,0.0165289256198346,-0.0040485829959514,-0.0238095238095238,-0.0989010989010988,-0.188118811881188,-0.127659574468085,-0.136842105263158,0.1181818181818181,0.0165289256198346,0.0512820512820513,0.088495575221239,0.1826923076923077,0.0423728813559323,-0.1021897810218979,-0.2264150943396227,-0.2634730538922155
BBXK-L,14.0,-0.065146749161619,1.1328293579894364e-05,0.325109795616027,0.1127210112972995,0.0082911490011991,1.0,-0.3366986696516983,5.62499243086956e-07,-0.1122292685547688,3.511843485749278e-06,1.511358260396188e-05,0.3556588840522356,2.0,0.3606430137117038,0.3189269395488051,1.0073925480144137,0.0073925480144135,-0.8179419525065963,-0.0306905370843989,-0.0155844155844155,-0.0181347150259066,0.0133689839572193,0.0498614958448753,0.1017441860465115,0.2891156462585034,0.4862745098039216,0.3933823529411764,0.528225806451613,0.4576923076923076,0.5220883534136544,0.4356060606060605,0.4037037037037037,0.6127659574468085,0.6919642857142856,1.0376344086021505,0.9336734693877552,0.9536082474226806,0.8855721393034828,0.7962085308056874,0.7227272727272727,0.5857740585774058,0.4521072796934866,0.6127659574468085,0.4521072796934866,0.4576923076923076,0.3392226148409893,0.2847457627118643,0.5406504065040652,0.3392226148409893,0.2031746031746031,-0.0618811881188119,-0.0078534031413611,0.03551912568306,-0.0282051282051282,-0.1061320754716981,-0.066502463054187,-0.0778588807785888,0.0527777777777778,-0.0800970873786407,-0.0867469879518073,-0.155902004454343,-0.155902004454343,-0.299445471349353,-0.2640776699029127,-0.3121597096188747,-0.3096539162112932
BCPS-L^C06,13.0,-0.0099882949668357,5.773212941084828e-06,0.1656849785968729,0.1109114127607245,0.0137363805147585,1.0,-0.017326888065792,4.400078603918866e-07,-0.0191357540585025,3.2529591586391266e-07,7.811707026907088e-06,0.0035061120060646,2.0,0.3594910180431162,-0.2816279001455417,0.0263958006576339,-0.3722427868769332,0.0497151734852407,-0.0055362430796962,-0.0068149672110068,-0.0677127338563668,33.176991150442475,31.45378151260504,-0.0976635514018691,44.97619047619048,-0.1006054960409874,-0.1526055951727922,-0.1228707699295935,54.971014492753625,-0.078941092296685,-0.0906522251000706,60.792,-0.1784726653903424,-0.1787347155768208,23.365930599369083,-0.1806513206746579,51.18918918918919,-0.1217737350767482,-0.1456697268001328,-0.1564001747487986,-0.1598868827496193,56.64179104477611,65.01709401709401,-0.1451969898185038,59.34374999999999,49.15584415584415,42.88636363636363,47.88607594936708,48.832258064516125,47.27499999999999,43.39080459770115,43.64739884393063,44.435294117647054,45.81212121212121,7.544247787610619,7.6205357142857135,55.79411764705882,60.3015873015873,9.87887323943662,57.075187969924805,63.90756302521008,64.45762711864407,59.34374999999999,44.97619047619048,49.48366013071895,48.19745222929936
BCQE-L^A14,14.0,-0.1943405634505111,4.572735067162047e-08,0.0013123255966192,-0.0745637635483127,-0.0598350613516454,1.0,-0.8254545454545454,-2.7595185926137626e-07,-0.1373835001724995,2.57924196850526e-06,1.9284875043663267e-06,-0.1244232987312572,4.0,4.175365390639853,0.2073769695147286,-0.1192414543501914,-0.1133155284242655,-0.150943396226415,-0.0185185185185184,-0.1451612903225806,0.06,-0.0862068965517239,-0.1092436974789915,0.0291262135922329,0.65625,1.717948717948718,0.2045454545454545,0.1910112359550562,-0.2205882352941176,-0.2789115646258503,-0.2837837837837837,-0.2205882352941176,-0.3333333333333333,-0.4207650273224044,-0.3205128205128205,-0.3764705882352941,-0.345679012345679,-0.2789115646258503,-0.5954198473282443,-0.5691056910569106,-0.576,-0.5508474576271186,-0.6558441558441559,-0.5984848484848485,-0.6227758007117438,-0.6306620209059233,-0.685459940652819,-0.6442953020134228,-0.6442953020134228,-0.6227758007117438,-0.6835820895522389,-0.6787878787878787,-0.6513157894736842,-0.6280701754385964,-0.6656151419558359,-0.618705035971223,-0.5938697318007662,-0.5391304347826087,-0.5527426160337553,-0.4952380952380952,-0.5810276679841897,-0.4301075268817204,-0.4952380952380952,-0.9027522935779816,-0.9120331950207468,-0.929474384564205
BCYN-L,13.0,0.0392066420664206,3.82068751701383e-07,0.0109649606889924,0.1798969072164948,-0.0261380701197665,1.0,0.0065133319763891,5.802500152229296e-08,-0.0632586895875744,1.701049924667565e-06,6.183409949173241e-07,0.0646534521750698,5.0,17.160613562828612,0.0246144241729292,0.0892651019622931,0.0892651019622931,-0.0660522273425499,-0.7414614773629865,-0.7607936799559067,-0.7719789842381787,-0.7698833510074231,-0.7517162471395881,-0.7526125783773514,-0.709375,-0.6899261728983092,-0.7317123428806924,-0.7241525423728814,-0.7485029940119761,-0.7617130307467057,-0.770976253298153,-0.7248520710059172,-0.7447559302097628,-0.7309361438313702,-0.7203007518796992,-0.6864916927522273,-0.702603928734582,-0.6707964601769911,-0.7190332326283988,-0.6970684039087948,-0.6985413290113451,-0.6727821060567982,-0.6772434308378781,-0.6954385964912281,-0.6670928151367936,-0.7113082039911308,-0.7804754678806272,-0.7406374501992032,-0.6886657101865137,-0.6882930332774719,-0.7087248322147651,-0.7247939124920736,-0.7024,-0.6431899150452178,-0.7030786773090081,-0.6228273464658169,-0.5849537774944215,-0.5586440677966102,-0.5336676217765044,-0.5378061767838126,-0.5617637159205655,-0.5399293286219082,-0.4187499999999999,-0.5316546762589929,-0.5277475516866159,-0.5694444444444444
