,Agglomerative,CL_100_128,CL_100_64,CL_10_128,CL_10_64,CL_20_128,CL_20_64,CL_30_128,CL_30_64,CL_50_128,CL_50_64,DBSCAN,K_mean,Reversal
count,391,391,391,391,391,391,391,391,391,391,391,391,391,391
annual return mean,0.18472536315103438,0.2603534876739646,0.24851492788141294,0.26411555974587153,0.2618565503579431,0.25114935518025394,0.2450919749054219,0.263657965148167,0.2546774531132223,0.2584670067818182,0.2624257979896143,0.2707206578694912,0.24779093480106562,0.08376930539604222
annual return std,0.10209015002036215,0.13212797780142038,0.1334579548481276,0.13226038837311926,0.13294388177042515,0.13659227979492372,0.1366383328208871,0.1349250200768235,0.13707574017337287,0.1382272831163902,0.1285841846784821,0.1294785764818711,0.12530445508730836,0.07204748420901952
Sharpe ratio,1.8094337515831882,1.9704644845564705,1.862121506089448,1.9969362179761347,1.9696773320500107,1.8386789909160561,1.7937277910635931,1.9541072886114497,1.857932357622926,1.86986968820174,2.0408870550122167,2.0908529057499794,1.9775109722029625,1.1626957737069084
t-statistic,15.976228457605396,23.20166163796435,21.479330014346647,23.67767382892318,23.28822519134822,21.432036552565506,20.65097710240887,23.255466808692667,21.82333588094722,22.16122104964663,23.967898849888535,24.948527109104678,22.43876804957923,0.0
Downside deviation,0.07209596717801414,0.09532338486138259,0.09247851809870977,0.08535039621399898,0.08670813014278633,0.0935268462768386,0.10324140963941342,0.08950305174551887,0.09164283797621309,0.09425995111645213,0.0674680189820458,0.06891929240299022,0.07048864457252013,0.04757943706398393
Sortino ratio,2.562214925211058,2.731265660074551,2.687271952348468,3.0944854559743904,3.0199769032815222,2.6853183356237005,2.373969667417788,2.945798606932612,2.7790218934438355,2.742065996432555,3.889632479937636,3.9280823762164068,3.515331246668154,1.7606199351074883
Gross profit,7.116598314290985,9.858089272408629,9.632599920907428,9.81343158283849,9.709092489408501,9.695958422480976,9.594455133533943,9.837148600894428,9.799961854169569,9.761959660246342,9.725274974618504,9.889477032439618,9.341874614317158,3.86204165507633
Gross loss,-1.5933653318828747,-2.3185591965927834,-2.400573100752767,-2.176787272873593,-2.130727584207299,-2.3952516158310058,-2.4518820983592287,-2.2123012002052853,-2.4075030824087116,-2.27123643459244,-2.1322144188625907,-2.083025616626164,-2.1287478086856026,-1.240873369654749
Profit Factor,4.466394600089186,4.25181694170047,4.012625117679963,4.508218007855084,4.556702865899493,4.0479916007141785,3.9130980808393856,4.446568396736219,4.070591612437184,4.29808165788696,4.56111490879344,4.747650222591795,4.388436514743993,3.112357593870255
Profitable years,32,32,30,31,30,30,31,31,30,30,30,31,31,29
Unprofitable years,1,1,3,2,3,3,2,2,3,3,3,2,2,4
